"RMS Level -> Smooth","0 deg",
Ch1,,
X,Y,
Hz,dBSPL,
18.75,71.6465807123796,
20.625,71.9668059208483,
22.5,72.3154164365682,
24.375,72.6770835340104,
24.4510476316561,72.6948423343828,
24.7950902111227,72.773599733336,
25.1439736995871,72.828717606021,
25.4977662118738,72.8668589561827,
25.8565368212285,72.9354190754788,
26.2203555728034,73.0344043183204,
26.589293497333,73.1297741934315,
26.9634226250017,73.1889284363397,
27.3428159995066,73.2236991947578,
27.7275476923185,73.2892313294323,
28.1176928171432,73.4018159645828,
28.5133275445868,73.5033671446436,
28.9145291170263,73.5547407309198,
29.3213758636911,73.5924577617215,
29.7339472159547,73.675024775988,
30.1523237228433,73.7976609747246,
30.5765870667619,73.8783664050363,
31.0068200794412,73.9184886081834,
31.44310675811,73.9772966371547,
31.8855322818941,74.090284731083,
32.3341830284464,74.1879687588207,
32.7891465908112,74.2375050600251,
33.2505117945257,74.2916497817362,
33.7183687149614,74.3914449584611,
34.1928086949106,74.486974453177,
34.6739243624199,74.5417527657756,
35.1618096488741,74.6001572758065,
35.6565598073356,74.6912256241406,
36.158271431141,74.7732321472265,
36.6670424727596,74.8291974492859,
37.1829722629174,74.8934692519983,
37.7061615299902,74.973034819265,
38.2367124196694,75.0398750738628,
38.7747285149042,75.0967934767406,
39.3203148561256,75.1596482149761,
39.8735779617533,75.2235441296896,
40.4346258489924,75.2806243210861,
41.0035680549224,75.33332431476,
41.5805156578826,75.3844787971972,
42.1655812991588,75.4367831102914,
42.7588792049749,75.482595749125,
43.3605252087941,75.5210167307366,
43.970636773934,75.5626447383674,
44.5893330164994,75.599296342944,
45.2167347286383,75.6259439375005,
45.8529644021251,75.654085996214,
46.498146252275,75.677590151333,
47.1524062421961,75.6918711010639,
47.8158721073814,75.7044570307431,
48.4886733806475,75.7118229772809,
49.1709414174245,75.7118992115063,
49.8628094214011,75.7061311948769,
50.564412470531,75.6962984503829,
51.2758875434048,75.6785014823458,
51.9973735459936,75.6527491322407,
52.7290113387683,75.6247161620433,
53.4709437642005,75.5845970038601,
54.2233156746511,75.5402990285403,
54.9862739606505,75.4898693196111,
55.759967579577,75.4281986448507,
56.5445475847386,75.3646845885328,
57.3401671548644,75.290494868194,
58.1469816240107,75.2114978660202,
58.9651485118876,75.1273935952405,
59.7948275546128,75.0365494204498,
60.636180735898,74.9435025861327,
61.4893723186738,74.8478643490865,
62.3545688771604,74.750479172938,
63.231939329388,74.6582629944439,
64.1216549701768,74.5670973894107,
65.0238895045796,74.4893441725188,
65.9388190817951,74.4204951035559,
66.866622329559,74.3733491160694,
67.8074803890188,74.34743359384,
68.761576950099,74.3520745285932,
69.7290982873636,74.3921174644347,
70.7102332963849,74.4713826041705,
71.7051735306216,74.5979530230596,
72.7141132388178,74.7700772426153,
73.7372494029272,74.9944617073143,
74.7747817765712,75.2660977008878,
75.8269129240382,75.5859588836582,
76.8938482598313,75.9484083833892,
77.9757960887732,76.3492735575865,
79.0729676466745,76.7817666067009,
80.1855771415748,77.2414276327069,
81.3138417955641,77.7203896667064,
82.4579818871921,78.2135576542594,
83.6182207944752,78.718326120301,
84.7947850385075,79.2245614972273,
85.9879043276865,79.7353128790104,
87.1978116025602,80.242917956151,
88.4247430813058,80.7446535721577,
89.6689383058482,81.2422544122802,
90.930640188627,81.729888806642,
92.2100950600224,82.2077199110683,
93.5075527164476,82.6758939470689,
94.8232664691183,83.1317090494571,
96.1574931935081,83.575391859486,
97.5104933795003,84.0067101648864,
98.882531182245,84.4245663139166,
100.273874473732,84.8291716472708,
101.684794895088,85.2204605886395,
103.115567909613,85.5977699369816,
104.566472856559,85.9610969681969,
106.037793005668,86.3107271939927,
107.529815612478,86.6465238576824,
109.042831974402,86.9682676623788,
110.577137487604,87.2760298083748,
112.133031704669,87.5700018702149,
113.710818393086,87.8502975000029,
115.310805594558,88.1170057413879,
116.933305685137,88.3703003185558,
118.578635436218,88.6104575284506,
120.247116076381,88.8378279783857,
121.939073354104,89.0528308698193,
123.654837601367,89.255976768504,
125.394743798139,89.4478964623249,
127.159131637784,89.6293638937622,
128.948345593375,89.8013144131718,
130.762734984955,89.9648621465742,
132.602654047732,90.1213171322277,
134.468462001238,90.272200018249,
136.360523119466,90.4192509145109,
138.279206801988,90.564428619692,
140.224887646075,90.709896281925,
142.197945519828,90.8579895656509,
144.198765636352,91.0111638619056,
146.227738628953,91.1719183894993,
148.285260627411,91.3426973785676,
150.371733335316,91.5257718016678,
152.487564108495,91.7231090020989,
154.633166034547,91.9362414444074,
156.808958013486,92.1661487957469,
159.015364839531,92.4131683596408,
161.252817284038,92.6769460935212,
163.521752179606,92.9564344910273,
165.822612505359,93.2499375321564,
168.155847473433,93.5551977531564,
170.521912616681,93.8695139570277,
172.921269877605,94.1898733741002,
175.354387698549,94.5130846820409,
177.821741113152,94.8359013740766,
180.323811839095,95.1551266390456,
182.861088372149,95.4676976344551,
185.434066081544,95.770748255587,
188.043247306691,96.0616512689016,
190.689141455247,96.3380466905969,
193.372265102579,96.5978594080827,
196.093142092612,96.8393100418144,
198.852303640108,97.060924311294,
201.650288434373,97.2615443338779,
204.487642744432,97.4403439593019,
207.364920525682,97.5968515752685,
210.28268352804,97.7309808737246,
213.241501405621,97.8430705491617,
216.241951827956,97.9339317519725,
219.284620592768,98.0049003643401,
222.37010174035,98.0578884539666,
225.498997669535,98.0954254989275,
228.671919255312,98.1206757599378,
231.889485968091,98.1374138004066,
235.15232599464,98.1499372537505,
238.46107636074,98.1628968299336,
241.816383055547,98.1810309643408,
245.218901157716,98.2088085730993,
248.669294963298,98.2500074884371,
252.168238115433,98.3072830579305,
255.71641373587,98.3818011732982,
259.314514558337,98.4730116973141,
262.963243063789,98.5786161285626,
266.663311617556,98.6947422356897,
270.415442608428,98.8162931374845,
274.220368589683,98.9374059723546,
278.078832422117,99.0519459779064,
281.991587419073,99.1539744217754,
285.959397493515,99.2381538537228,
289.983037307173,99.3000800726894,
294.063292421786,99.3365488140144,
298.200959452472,99.3457729176804,
302.396846223255,99.3275623986305,
306.651771924782,99.2834666694439,
310.966567274263,99.2168569857202,
315.342074677651,99.1329011401656,
319.779148394116,99.0383585521398,
324.278654702823,98.9411158458068,
328.841472072067,98.8494104312235,
333.468491330775,98.7707689722351,
338.160615842436,98.7108126784138,
342.918761681464,98.6722048084271,
347.743857812054,98.6540590497135,
352.636846269548,98.6520333984838,
357.598682344353,98.6591276388144,
362.630334768453,98.6669897991362,
367.732785904536,98.6674270222621,
372.907031937792,98.6538382307683,
378.154083070399,98.6223821331946,
383.474963718757,98.5727797024292,
388.87071271349,98.5086732322401,
394.34238350226,98.4374283890585,
399.891044355444,98.369228514894,
405.517778574698,98.3153660072539,
411.223684704453,98.2858668074276,
417.009876746397,98.2869638037394,
422.877484376964,98.3192456320276,
428.827653167893,98.3772415850046,
434.861544809881,98.4506719523949,
440.980337339389,98.5269095828892,
447.185225368639,98.5938201394936,
453.477420318846,98.6422387133943,
459.85815065673,98.6676835972708,
466.328662134359,98.6711980243034,
472.890218032364,98.6593095989506,
479.544099406582,98.6430643138078,
486.291605338157,98.6360892181246,
493.134053187176,98.6518190605676,
500.072778849862,98.7004078583556,
507.10913701939,98.7862171831651,
514.244501450375,98.9067609579106,
521.480265227075,99.0534361955888,
528.817841035376,99.2136076933425,
536.258661438597,99.3731891125604,
543.804179157182,99.5189956532826,
551.455867352323,99.6405867830186,
559.21521991357,99.7316864097805,
567.083751750503,99.7913539980733,
575.062999088488,99.82487771083,
583.15451976861,99.8439693039294,
591.35989355182,99.8654602063252,
599.680722427358,99.9077244503968,
